# Diamond_cryo_no_bc_open1_6vx6h at temperature 289.162 K.
# File generated by IDL:
# Instrument: NOMAD
#TOF                  Is/Iv                   Error
  719.967166220         0.000000051           0.052482198                     
  720.760095407         0.000000051           0.051472204                     
  721.553877390         0.000000051           0.050471454                     
  722.348597448         0.000000052           0.049492202                     
  723.144170301         0.000000052           0.048435044                     
  723.940595950         0.000000052           0.047312367                     
  724.737874394         0.000000052           0.046229533                     
  725.536090914         0.000000052           0.045237085                     
  726.335160228         0.000000052           0.044118229                     
  727.135167618         0.000000053           0.042888293                     
  727.936027803         0.000000053           0.041770757                     
  728.737655504         0.000000053           0.040513237                     
  729.540306559         0.000000053           0.039195962                     
  730.343810410         0.000000054           0.037904414                     
  731.148167056         0.000000054           0.036421220                     
  731.953461778         0.000000054           0.035047412                     
  732.759524015         0.000000055           0.033432338                     
  733.566609607         0.000000055           0.031757651                     
  734.374547994         0.000000056           0.029945309                     
  735.183339176         0.000000056           0.028064165                     
  735.992983154         0.196434379           0.025645157                     
  736.803565207         0.711268902           0.023264151                     
  737.615085335         0.789134383           0.023020210                     
  738.427458258         0.775372207           0.023485848                     
  739.240769256         0.846312165           0.024029324                     
  740.054847770         0.834395885           0.024169302                     
  740.869949639         0.831667185           0.024051798                     
  741.685989583         0.837966919           0.024836799                     
  742.502797042         0.861700535           0.025222836                     
  743.320542577         0.868410051           0.025552394                     
  744.139226186         0.915456295           0.025953576                     
  744.958762591         0.948760569           0.026575234                     
  745.779237071         0.915559947           0.027038924                     
  746.600649626         1.008673906           0.027489413                     
  747.422914976         1.000223160           0.028051390                     
  748.246033122         1.009883404           0.028682664                     
  749.070174622         1.049628735           0.028879286                     
  749.895168917         1.091437221           0.029686870                     
  750.721016008         1.099838138           0.030139930                     
  751.547886454         1.117669463           0.030644117                     
  752.375609695         1.165205717           0.031289329                     
  753.204271011         1.198218346           0.031822289                     
  754.033785122         1.201829672           0.032285588                     
  754.864237309         1.223371744           0.032708140                     
  755.695627570         1.224887609           0.033317703                     
  756.527955906         1.259186268           0.034105640                     
  757.361137038         1.344224334           0.034806706                     
  758.195170965         1.363355875           0.035263584                     
  759.030313526         1.353074670           0.035646564                     
  759.866223603         1.375085115           0.036230230                     
  760.703157035         1.518386841           0.036861096                     
  761.541028541         1.465633035           0.037548334                     
  762.379667564         1.414730191           0.037949528                     
  763.219329941         1.467069626           0.038345754                     
  764.059930393         1.486845851           0.038926431                     
  764.901468920         1.501261115           0.039413545                     
  765.743774962         1.487889886           0.039921912                     
  766.587189639         1.565409899           0.040349457                     
  767.431457111         1.589599252           0.040734192                     
  768.276747938         1.555248141           0.040983742                     
  769.122891560         1.579710007           0.041204742                     
  769.969887978         1.657285213           0.041963232                     
