# Diamond_cryo_no_bc_open1_6vx6h at temperature 289.162 K.
# File generated by IDL:
# Instrument: NOMAD
#TOF                  Is/Iv                   Error
  1246.443822061        0.000000007           0.013330431                     
  1247.493668574        0.000000007           0.012620432                     
  1248.544548837        0.000000007           0.011880009                     
  1249.596167492        0.000000008           0.011117178                     
  1250.648524539        0.000000008           0.010265451                     
  1251.701915337        0.417566955           0.009289199                     
  1252.756339883        0.686446309           0.008950714                     
  1253.811502823        0.711025596           0.009210370                     
  1254.867404154        0.732328176           0.009522782                     
  1255.924339236        0.747500598           0.009832236                     
  1256.982012710        0.780153871           0.010182150                     
  1258.041015290        0.810675025           0.010530766                     
  1259.100460906        0.836875558           0.010892502                     
  1260.160940272        0.873336554           0.011270325                     
  1261.222305708        0.902133465           0.011610736                     
  1262.284704895        0.922292531           0.011896926                     
  1263.347842473        0.939499557           0.012141448                     
  1264.411866123        0.947182417           0.012368448                     
  1265.476775844        0.961145639           0.012505472                     
  1266.542571636        0.989726424           0.012620639                     
  1267.609548856        0.991768479           0.012711637                     
  1268.677116790        0.968908489           0.012711484                     
  1269.745718473        0.972745240           0.012665997                     
  1270.815058549        0.973810554           0.012609251                     
  1271.885580053        0.964538217           0.012519215                     
  1272.956839950        0.942971051           0.012389356                     
  1274.028985918        0.944399416           0.012300796                     
  1275.101870278        0.941590726           0.012184277                     
  1276.176083745        0.921835184           0.012069801                     
  1277.250887925        0.919849634           0.012008405                     
  1278.326725856        0.910807133           0.011931664                     
  1279.403302179        0.896852732           0.011867724                     
  1280.480764573        0.920790076           0.011867489                     
  1281.559556073        0.926017106           0.011838207                     
  1282.638938288        0.932606280           0.011852226                     
  1283.719206574        0.915383220           0.011824144                     
  1284.800360930        0.925240338           0.011863513                     
  1285.882696715        0.914698541           0.011858084                     
  1286.965623214        0.917319715           0.011854831                     
  1288.049583462        0.940006852           0.011925934                     
  1289.134429782        0.936995983           0.011991812                     
  1290.220162172        0.927067995           0.012009892                     
  1291.307075990        0.942076862           0.012041043                     
  1292.394580523        0.934819162           0.012038673                     
  1293.483118805        0.943883479           0.012044273                     
  1294.572395480        0.945400715           0.012062839                     
  1295.663001261        0.940008044           0.012044519                     
  1296.754345435        0.940325320           0.012021694                     
  1297.846428001        0.952809989           0.012029890                     
  1298.939544317        0.942684412           0.011975097                     
  1300.033399025        0.924984872           0.011926505                     
  1301.128730519        0.932083070           0.011931599                     
  1302.224505047        0.934024096           0.011911411                     
  1303.321313326        0.922326803           0.011880456                     
  1304.418859997        0.924533308           0.011859035                     
  1305.517883453        0.939843118           0.011827952                     
  1306.617349945        0.939843714           0.011819517                     
  1307.717850186        0.929988384           0.011842938                     
  1308.819236498        0.921476126           0.011847824                     
  1309.921508882        0.925569594           0.011865314                     
  1311.024962693        0.929622889           0.011872442                     
  1312.129154897        0.936220884           0.011868042                     
  1313.234233172        0.927368581           0.011894846                     
  1314.340345197        0.933992803           0.011972151                     
  1315.447490971        0.916043401           0.011949546                     
  1316.555375137        0.926558852           0.011995841                     
  1317.664293053        0.937002778           0.012016460                     
  1318.773949362        0.932176292           0.011972235                     
  1319.884639420        0.945317745           0.012009790                     
  1320.996658585        0.943419993           0.012020329                     
  1322.109120786        0.943454623           0.012013017                     
  1323.222616736        0.947867095           0.012015239                     
  1324.337146435        0.930306613           0.011968143                     
  1325.452857563        0.935713589           0.011996553                     
  1326.569159404        0.914722919           0.011940782                     
  1327.686347317        0.918889880           0.011925914                     
  1328.804568979        0.937147081           0.011936961                     
  1329.923972069        0.942182362           0.011931434                     
  1331.044113552        0.946949959           0.011907278                     
  1332.165141106        0.950999141           0.011885731                     
  1333.287054731        0.932895601           0.011839515                     
  1334.410002105        0.931649506           0.011845800                     
  1335.534130908        0.931824625           0.011815372                     
  1336.658998103        0.933175683           0.011816378                     
  1337.784751369        0.938854933           0.011836988                     
  1338.911390706        0.928624153           0.011826625                     
  1340.039359150        0.952025890           0.011848155                     
  1341.167918307        0.958523333           0.011827063                     
  1342.297511215        0.954722941           0.011826487                     
  1343.427990193        0.927617788           0.011781007                     
  1344.559650599        0.952721596           0.011839683                     
  1345.692049398        0.936441898           0.011825004                     
  1346.825481947        0.936705947           0.011796223                     
  1347.959800566        0.941263378           0.011794505                     
  1349.095300614        0.915361881           0.011766829                     
  1350.231391376        0.914973021           0.011745677                     
  1351.368811244        0.922442019           0.011745236                     
  1352.506969505        0.940170348           0.011734987                     
  1353.646013836        0.944175184           0.011719882                     
  1354.786239596        0.933552384           0.011705772                     
  1355.927203749        0.947776794           0.011697088                     
  1357.069349329        0.934505999           0.011676597                     
  1358.212380981        0.947405875           0.011667910                     
  1359.356446382        0.934428275           0.011599148                     
  1360.501250175        0.939133823           0.011621873                     
  1361.647235397        0.930935323           0.011613843                     
  1362.794106690        0.944219291           0.011648120                     
  1363.941864053        0.953183472           0.011663374                     
  1365.090655167        0.934856653           0.011688998                     
  1366.240332351        0.920449853           0.011668355                     
  1367.391190964        0.929576278           0.011651513                     
  1368.542787968        0.915725172           0.011652545                     
  1369.695566402        0.915760815           0.011701908                     
  1370.849230906        0.947718263           0.011717185                     
  1372.003929159        0.939127624           0.011703843                     
  1373.159365805        0.925915897           0.011728772                     
  1374.315836201        0.937984228           0.011733668                     
  1375.473488025        0.933736444           0.011709175                     
  1376.632025920        0.925409138           0.011726224                     
  1377.791597564        0.939188838           0.011715813                     
  1378.951907601        0.946178615           0.011677236                     
  1380.113399066        0.936815083           0.011696093                     
  1381.275776602        0.940804243           0.011705241                     
  1382.439335566        0.938292623           0.011682052                     
  1383.603632923        0.933601201           0.011637137                     
  1384.769111708        0.914678097           0.011602619                     
  1385.935328885        0.921699047           0.011586690                     
  1387.102579812        0.933474541           0.011572762                     
  1388.271012167        0.931413829           0.011579785                     
  1389.440182914        0.935770690           0.011556720                     
  1390.610535090        0.928720117           0.011558390                     
  1391.781773336        0.924426198           0.011521378                     
  1392.954045332        0.907586992           0.011534683                     
  1394.127203399        0.910728812           0.011545509                     
  1395.301542895        0.911308885           0.011505114                     
  1396.476768461        0.933362007           0.011558422                     
  1397.653027777        0.922298431           0.011566027                     
  1398.830173163        0.922271252           0.011571858                     
  1400.008204621        0.928187668           0.011596383                     
  1401.187417507        0.946917713           0.011642266                     
  1402.367516464        0.922127008           0.011629115                     
  1403.548796849        0.940045595           0.011650252                     
  1404.730963306        0.928303540           0.011646550                     
  1405.914163511        0.934493661           0.011651905                     
  1407.098249788        0.944519937           0.011617637                     
  1408.283517493        0.941139817           0.011633090                     
  1409.469523590        0.929385602           0.011638217                     
  1410.656563437        0.922206879           0.011570623                     
  1411.844932390        0.920868635           0.011562987                     
  1413.033892058        0.919526875           0.011566354                     
  1414.224180832        0.921889424           0.011554839                     
  1415.415207998        0.913139164           0.011478376                     
  1416.607564272        0.931965292           0.011502882                     
  1417.800511259        0.904659748           0.011461025                     
  1418.994787353        0.919440746           0.011425645                     
  1420.189949517        0.920082927           0.011419760                     
  1421.385997753        0.909701109           0.011445854                     
  1422.583227417        0.909060121           0.011406901                     
  1423.781343152        0.921688557           0.011405678                     
  1424.980640315        0.952907145           0.011426775                     
  1426.180823549        0.935582578           0.011418481                     
  1427.382188212        0.921546221           0.011411735                     
  1428.584291266        0.925503075           0.011410193                     
  1429.787723427        0.940665305           0.011413680                     
  1430.991893981        0.933631957           0.011394679                     
  1432.197098285        0.936940491           0.011388346                     
  1433.403484016        0.916258335           0.011412380                     
  1434.610608140        0.937010467           0.011418419                     
  1435.819061371        0.929452300           0.011447400                     
  1437.028252994        0.936962903           0.011419553                     
  1438.238773723        0.924113035           0.011398122                     
  1439.450032845        0.927737236           0.011409976                     
