# Diamond_cryo_no_bc_open1_6vx6h at temperature 289.162 K.
# File generated by IDL:
# Instrument: NOMAD
#TOF                  Is/Iv                   Error
  705.349478863         0.000000014           0.031241201                     
  706.159356339         0.000000014           0.030566510                     
  706.969985712         0.000000014           0.029842467                     
  707.781534072         0.000000014           0.029159548                     
  708.594001418         0.000000014           0.028439460                     
  709.407638383         0.000000014           0.027706555                     
  710.221943701         0.000000014           0.026968532                     
  711.037251550         0.000000014           0.026204049                     
  711.853645473         0.000000014           0.025420687                     
  712.670791294         0.000000014           0.024619481                     
  713.488856101         0.000000014           0.023786685                     
  714.308090527         0.000000014           0.022895951                     
  715.128076851         0.000000015           0.021996680                     
  715.948982161         0.000000015           0.021047997                     
  716.770806458         0.000000015           0.020013019                     
  717.593800373         0.000000015           0.018938831                     
  718.417546186         0.000000015           0.017759979                     
  719.242294529         0.000000015           0.016467777                     
  720.068045403         0.051679961           0.015048372                     
  720.894631718         0.716147006           0.013491116                     
  721.722220565         0.926542222           0.013072460                     
  722.550644853         0.923057854           0.013155488                     
  723.380322304         0.929037690           0.013266709                     
  724.210668109         0.955857515           0.013390128                     
  725.042016444         0.950659275           0.013531616                     
  725.874450853         0.957983196           0.013669409                     
  726.707720705         0.981439412           0.013825522                     
  727.541909543         0.998035908           0.013950771                     
  728.377100911         1.001143098           0.014123990                     
  729.213378354         1.015922189           0.014241909                     
  730.050491239         1.037763715           0.014391625                     
  730.888523110         1.064039707           0.014563199                     
  731.727724600         1.046537876           0.014728726                     
  732.567677988         1.077534199           0.014857334                     
  733.408633906         1.086997390           0.015014768                     
  734.250508810         1.106959462           0.015181907                     
  735.093553333         1.129580736           0.015363299                     
  735.937433299         1.121630549           0.015514427                     
  736.782232250         1.156566978           0.015730176                     
  737.628117276         1.146375299           0.015833869                     
  738.474921288         1.156855464           0.016102753                     
  739.322644286         1.161910772           0.016178387                     
  740.171453359         1.158401847           0.016303539                     
  741.021181418         1.200771809           0.016525404                     
  741.871828464         1.207966208           0.016668274                     
  742.723394495         1.216108203           0.016830086                     
  743.576213690         1.223406672           0.017044661                     
  744.429784782         1.279048681           0.017269029                     
  745.284274861         1.275718331           0.017292900                     
  746.140018102         1.288801074           0.017496378                     
  746.996513242         1.274865985           0.017664624                     
  747.854010911         1.342869639           0.017850906                     
  748.712511111         1.326278925           0.018009809                     
  749.572180930         1.357560277           0.018110864                     
  750.432602647         1.349297404           0.018316302                     
  751.294026894         1.381350040           0.018456845                     
  752.156704304         1.392406821           0.018549177                     
  753.020050068         1.401610970           0.018720960                     
  753.884481907         1.434238672           0.018851344                     
  754.750083364         1.425894976           0.018927396                     
  755.616520263         1.419259667           0.019075121                     
  756.483876148         1.442529202           0.019155594                     
  757.352234564         1.462067246           0.019279249                     
  758.221846143         1.466697812           0.019282714                     
  759.092209619         1.478312492           0.019383929                     
  759.963575626         1.494178414           0.019452415                     
  760.836111252         1.482150555           0.019514650                     
  761.709565864         1.487882376           0.019609306                     
  762.583939462         1.483598709           0.019662981                     
  763.459399135         1.465916395           0.019698311                     
  764.335861338         1.481690407           0.019751066                     
  765.213326072         1.502210259           0.019782781                     
  766.091793336         1.513774514           0.019796456                     
  766.971263130         1.512881041           0.019831737                     
  767.851735455         1.507302523           0.019794518                     
  768.733210310         1.501588941           0.019770003                     
  769.615771240         1.510934949           0.019818585                     
  770.499251156         1.537947297           0.019822099                     
  771.383733602         1.538560867           0.019798406                     
  772.269385667         1.539401770           0.019755065                     
  773.155873174         1.545135617           0.019734410                     
  774.043446756         1.525633574           0.019701298                     
  774.932022868         1.513677001           0.019588056                     
  775.821685055         1.497520924           0.019506650                     
  776.712349772         1.526077747           0.019560000                     
  777.604017020         1.511548042           0.019467060                     
  778.496686798         1.496156693           0.019385157                     
  779.390359106         1.480573416           0.019308893                     
  780.285117489         1.514190435           0.019225358                     
  781.180878403         1.504357457           0.019177920                     
  782.077725391         1.500440598           0.019132871                     
  782.975574909         1.495602727           0.019011619                     
  783.874343414         1.492733717           0.018925757                     
  784.774281537         1.488786697           0.018794817                     
  785.675138647         1.432431698           0.018663113                     
  786.577165375         1.451375723           0.018672171                     
  787.480194634         1.461649418           0.018547186                     
  788.384142879         1.454154253           0.018422467                     
  789.289260743         1.425321698           0.018310657                     
  790.195297593         1.435889959           0.018271561                     
  791.102504061         1.469110250           0.018249406                     
  792.010629516         1.448000669           0.018097447                     
  792.919841046         1.404511094           0.017939613                     
  793.830138650         1.431476116           0.017937152                     
  794.741438785         1.390904546           0.017805861                     
  795.653824994         1.421048522           0.017778603                     
  796.567213734         1.432402611           0.017693422                     
  797.481688548         1.430891037           0.017602458                     
  798.397249437         1.406433940           0.017486857                     
  799.313729312         1.408365965           0.017406967                     
  800.231378805         1.396429062           0.017295775                     
  801.150030830         1.399296165           0.017219952                     
  802.069768928         1.379168153           0.017171261                     
  802.990509558         1.368078828           0.017056962                     
  803.912336262         1.376763225           0.016959856                     
  804.835249040         1.380076647           0.016958302                     
  805.759164349         1.394060373           0.016903475                     
  806.684249276         1.378764868           0.016799938                     
  807.610253190         1.350042820           0.016711492                     
  808.537426723         1.358286023           0.016693657                     
  809.465519242         1.363656402           0.016597196                     
  810.394864923         1.352630734           0.016525505                     
  811.325213136         1.348214149           0.016458003                     
  812.256563878         1.337099791           0.016422032                     
  813.189084240         1.334574580           0.016364082                     
  814.122690676         1.320495367           0.016288078                     
  815.057216098         1.339797258           0.016267926                     
  815.992911139         1.348899245           0.016275321                     
  816.929608710         1.331082106           0.016183834                     
  817.867475901         1.332379580           0.016115487                     
  818.806345621         1.350946784           0.016111443                     
  819.746384961         1.344753981           0.016021686                     
  820.687510375         1.332132697           0.016018298                     
  821.629638319         1.320945382           0.016011806                     
  822.572852338         1.331431150           0.015977577                     
  823.517152432         1.339100718           0.015953657                     
  824.462538600         1.333128929           0.015874070                     
  825.409010843         1.308094978           0.015801674                     
  826.356569160         1.331545949           0.015803328                     
  827.305297097         1.336383700           0.015798470                     
  828.254944019         1.309949994           0.015789509                     
  829.205844105         1.323345900           0.015693251                     
  830.157746720         1.299402714           0.015615776                     
  831.110818955         1.312045813           0.015676887                     
  832.064810176         1.318970680           0.015653509                     
  833.020054560         1.315746069           0.015628935                     
  833.976468562         1.294882298           0.015576829                     
  834.933801551         1.300171733           0.015544874                     
  835.892304159         1.296547174           0.015612668                     
  836.851976385         1.290459633           0.015538797                     
  837.812651142         1.302087665           0.015538472                     
  838.774495518         1.298763990           0.015506366                     
  839.737342424         1.289341807           0.015495684                     
  840.701358949         1.296269536           0.015426439                     
  841.666461548         1.305128098           0.015436139                     
  842.632733767         1.324684739           0.015503279                     
  843.600092059         1.310732007           0.015471316                     
  844.568452883         1.308636069           0.015458291                     
  845.538066869         1.284545064           0.015375534                     
  846.508683386         1.294922233           0.015355334                     
  847.480553065         1.293848991           0.015381553                     
  848.453425275         1.319536090           0.015420896                     
  849.427467104         1.309705377           0.015362996                     
  850.402678552         1.306375504           0.015302618                     
  851.378808986         1.295749545           0.015328775                     
  852.356276127         1.324288964           0.015341645                     
  853.334745798         1.310242176           0.015348122                     
  854.314385089         1.312465429           0.015306552                     
  855.295110454         1.291835189           0.015239920                     
  856.277005437         1.309744358           0.015192856                     
  857.260070040         1.309431672           0.015269942                     
  858.244137173         1.308211923           0.015256223                     
  859.229457468         1.309014678           0.015219208                     
  860.215863839         1.294740677           0.015237957                     
  861.203356284         1.310474157           0.015161432                     
