# Diamond_cryo_no_bc_open1_6vx6h at temperature 289.162 K.
# File generated by IDL:
# Instrument: NOMAD
#TOF                  Is/Iv                   Error
  1276.330938203        0.835225463           0.012188693                     
  1277.528570082        0.852390766           0.012210128                     
  1278.727145083        0.849675715           0.012220379                     
  1279.926932672        0.843366563           0.012299375                     
  1281.127798116        0.862131834           0.012330306                     
  1282.329876147        0.851890266           0.012252853                     
  1283.533032034        0.838845253           0.012300642                     
  1284.737265776        0.847592354           0.012327000                     
  1285.942577372        0.864954531           0.012345114                     
  1287.149101556        0.860664427           0.012308041                     
  1288.356838327        0.842628837           0.012249487                     
  1289.565652954        0.861529231           0.012275775                     
  1290.775545435        0.824750125           0.012228889                     
  1291.986650504        0.845937073           0.012269292                     
  1293.198833428        0.847250700           0.012264638                     
  1294.412094207        0.850011170           0.012261766                     
  1295.626567573        0.867047668           0.012256049                     
  1296.842253526        0.847418904           0.012196586                     
  1298.059017335        0.836231649           0.012180161                     
  1299.276858999        0.850058794           0.012170563                     
  1300.495913250        0.857750416           0.012246496                     
  1301.716180088        0.855852008           0.012151818                     
  1302.937390049        0.871890903           0.012205186                     
  1304.159812597        0.849887550           0.012196555                     
  1305.383447733        0.873688817           0.012197649                     
  1306.608295456        0.844960093           0.012149469                     
  1307.834221033        0.855072379           0.012228493                     
  1309.061359198        0.852321208           0.012205453                     
  1310.289575219        0.858764112           0.012218896                     
  1311.518734362        0.864511073           0.012220166                     
  1312.749375557        0.864721954           0.012214077                     
  1313.980959874        0.847159326           0.012188805                     
  1315.213891511        0.862790287           0.012181208                     
  1316.447901003        0.849743724           0.012148718                     
  1317.682988351        0.859066188           0.012173045                     
  1318.919423017        0.858963251           0.012141547                     
  1320.156935538        0.857074857           0.012141884                     
  1321.395525915        0.839153588           0.012041502                     
  1322.635194147        0.856003881           0.012078561                     
  1323.876209698        0.824411213           0.012051796                     
  1325.118303104        0.849498332           0.012039277                     
  1326.361609097        0.829043984           0.011982039                     
  1327.606127678        0.867640078           0.012070879                     
  1328.851724113        0.862140596           0.012038916                     
  1330.098533136        0.861876309           0.012071526                     
  1331.346285282        0.863987267           0.012081315                     
  1332.595519479        0.857491970           0.012052120                     
  1333.845831531        0.845199049           0.012067931                     
  1335.097356170        0.865650952           0.012095891                     
  1336.349958665        0.864992738           0.012093361                     
  1337.603773747        0.854150236           0.012066831                     
  1338.858801415        0.865479052           0.012091907                     
  1340.114906939        0.862507701           0.012129129                     
  1341.372225050        0.854412317           0.012088103                     
  1342.630755749        0.857500196           0.012096157                     
  1343.890499034        0.854172289           0.012105825                     
  1345.151454906        0.845812321           0.012115510                     
  1346.413488634        0.834472001           0.012120225                     
  1347.676869681        0.840811908           0.012133112                     
  1348.941193851        0.866626263           0.012098478                     
  1350.206730608        0.846773565           0.012095587                     
  1351.473614684        0.837705255           0.012068074                     
  1352.741711347        0.841415405           0.012022520                     
  1354.010885866        0.856508315           0.012012253                     
  1355.281272971        0.865733743           0.012031385                     
  1356.552872664        0.849829137           0.012036637                     
  1357.825684944        0.837490022           0.011986735                     
  1359.099709811        0.845016003           0.012005259                     
